REPLICATE,1.00,2.00,average,rep1,rep2,rep3,date_of_measurement,concentration of the standard,fluorescence of the blank,fluorescence of the standard,volume of solvent,volume of water,chla-calc,,,
08TT4,39.11,38.22,38.67,33.29,33.58,,2017/01/05,19.7,1.5,134.4,8,2,22.03613243,,,
08TT5,51.61,50.23,50.92,41.3,38.94,,2017/01/05,19.7,1.5,134.4,8,2,29.30245297,,,
16TT1,15.65,15.67,15.66,,,,2017/01/05,19.7,1.5,134.4,8,2,8.395846501,,,
16TT2,14.50,14.40,14.45,13.97,14.12,,2017/01/05,19.7,1.5,134.4,8,2,7.678404816,,,
16TT3,20.94,20.57,20.76,,,,2017/01/05,19.7,1.5,134.4,8,2,11.41680963,,,
16TT4,18.70,18.82,18.76,,,,2017/01/05,19.7,1.5,134.4,8,2,10.23392024,,,
16TT5,16.39,16.28,16.34,,,,2017/01/05,19.7,1.5,134.4,8,2,8.796072235,,,
25TT1,5.34,5.41,5.38,5.33,5.36,,2017/01/05,19.7,1.5,134.4,8,2,2.297592175,,,
25TT2,6.03,6.51,6.27,,,,2017/01/05,19.7,1.5,134.4,8,2,2.828261851,,,
25TT3,7.34,7.32,7.33,,,,2017/01/05,19.7,1.5,134.4,8,2,3.456764485,,,
25TT4,6.23,6.08,6.16,,,,2017/01/05,19.7,1.5,134.4,8,2,2.760075245,,,
25TT5,6.06,6.20,6.13,,,,2017/01/05,19.7,1.5,134.4,8,2,2.745252069,,,
32TT1,5.44,5.60,5.52,,,,2017/01/05,19.7,1.5,134.4,8,2,2.383566591,,,
32TT2,5.68,5.65,5.67,,,,2017/01/05,19.7,1.5,134.4,8,2,2.469541008,,,
32TT3,5.89,5.61,5.75,,,,2017/01/05,19.7,1.5,134.4,8,2,2.519939804,,,
32TT4,12.27,12.26,12.27,,,,2017/01/05,19.7,1.5,134.4,8,2,6.382859293,,,
32TT5,6.27,6.59,6.43,,,,2017/01/05,19.7,1.5,134.4,8,2,2.923130173,,,
38TT1,5.47,5.46,5.47,,,,2017/01/05,19.7,1.5,134.4,8,2,2.350955606,,,
38TT2,5.72,5.74,5.73,,,,2017/01/05,19.7,1.5,134.4,8,2,2.508081264,,,
38TT3,5.91,5.77,5.84,,,,2017/01/05,19.7,1.5,134.4,8,2,2.573303236,,,
38TT4,5.53,6.03,5.78,,,,2017/01/05,19.7,1.5,134.4,8,2,2.537727615,,,
38TT5,5.25,5.29,5.27,,,,2017/01/05,19.7,1.5,134.4,8,2,2.235334838,,,
05tt4,57.61,60.85,,,,,,,,,,,,,,
05tt4,58.49,,,,,,,,,,,,,,,
